Sudoku,Time(s)
.3..6.51.2..4....9..9....2.....25...5.8...7.1...78.....5....8..6....8..4.72.3..9.,1452
1.....4.....4...1.8...937...1.7...84..9...2..65...4.7...187...3.6...2.....5.....2,1895
8....49.5...3......2186........5.4.8.6.....5.4.7.3........9214......7...1.26....9,1211
.8..5.....39.71...7.6........5....783..8.4..296....1........5.6...94.21.....1..8.,1599
...65.89.......4.1....9..7.61....9..3..7.5..8..4....27.7..4....2.1.......36.29...,1100
.3...1.....1.....3..574...616...5.3...2...4...5.1...897...563..2.....8.....2...9.,1636
69.12......2..491....7.........8.67.5.......4.63.5.........8....256..3......43.91,1219
....31.58.974..1.......2....41.7....7.......3....2.46....6.......9..358.45.89....,1966
.5..7.....1...4.2.27.365.8..276....39.......85....326..8.536.12.3.9...5.....1..3.,766
819...7..3....1...7.48.5.1....5..239.........248..7....9.1.63.7...4....2..7...154,1020
.....5169..2...4...4..7....4..72.51.2.5...6.8.13.56..4....1..2...1...3..3865.....,779
.3....7.....4...6.615738........76.2726...5491.42........193256.6...2.....9....3.,745
2.....3....4..179..15.....69..156.8.....7.....7.283..13.....82..629..5....7.....9,826
..4...327...2....8.2.5.76.4381..5...............4..7614.89.2.3.1....6...652...4..,918
..8.15.96...7..342...6....1...9..27..5.....6..81..6...8....7...542..9...71.45.9..,979
..1.4.....938.6.2.2...59...9.84....54.......37....24.8...38...2.8.1.465.....6.3..,676
.5....3.....87......9...6853....28.6.2.4.8.7.5.89....1632...5......93.....5....3.,1180
8..7.14.6...28..9.....4.2...5...918..1.....2..381...6...7.1.....9..63...3.28.4..9,814
..2.....3....53...346...2...215...9.6..8.1..7.3...614...5...421...17....2.....3..,626
7...54.9.....8......52...4..58...9746.......1473...65..4...73......3.....3.69...7,879
9......6..2...3......7962831.73.....235...918.....53.2872564......1...2..6......5,646
8...9246....8..925...4..3.....7...36.7.....9.54...8.....6..7...125..4....8796...3,744
........4.8.24.6.7.....8.19..1..94.2....2....4.38..9..16.7.....2.8.64.9.3........,1568
...5....4.5.2....71.3.4.92...7....31....7....69....4...46.1.7.85....7.4.2....6...,1262
.8.153..69..........2...8....43.1.8.2...6...9.3.8.21....3...5..........87..984.3.,1055
.1...65.4....5..6...3.1....4.9.....7.2.864.1.3.....4.2....9.1...9..4....5.26...9.,1006
8..........3...9...9.285..4..61.8.9.5...7...1.8.6.92..7..936.8...8...1..........5,1432
....7.....8.4...15..5..8.3.8...35.41....4....41.92...7.6.3..4..53...4.2.....1....,2363
7..1.54.3.1..9..5...3..7....65......2...7...5......14....2..7...2..8..6.1.75.4..9,1048
5.94...7.....7.8...7..2....6.....2.9.9.342.8.2.7.....1....5..4...6.8.....8...45.2,982
.75.86..134.1......8........684..3......6......4..128........2......7.354..85.16.,1113
6.4....73...7....1....34.....82...3...6.7.9...3...56.....89....3....2...45....8.2,1390
.791.......469..31........7.......46...829...75.......3........94..823.......698.,839
.2.4.1.......9..721.....9..6..5...47....7....75...6..3..5.....649..3.......1.8.9.,1286
...6.18...4......39.8.7....5.4..3..7....5....3..4..9.5....8.5.26......8...29.6...,1530
6....5....8......3...39..81.67.3....9..8.6..7....7.31.52..67...3......6....2....9,1621
.3.95.14.72...1...9...4...8........2.93...51.2........6...7...1...1...24.45.28.7.,898
.291...38..6.......389.5.....1..9.5..5.318.7..6.7..9.....5.132.......6..39...741.,1073
7..1.2.8.62..7.....1.....4235.4.....2..3.1..4.....6.5183.....6.....8..17.7.9.5..8,995
8..5.9.7.73..8.....2.....1835.2.....4..3.1..6.....4.5164.....3.....7..62.8.6.3..7,1335
.659....8...8.27.....641..94...1..9.5..4.7..2.1..3...58..125.....17.4...7....982.,1457
...6..7....8..7..1.7...83.92...3.6...357.291...6.8...26.15...9.8..2..1....7..4...,800
9..1.76..6.2.9......5...3.92.15.....8..2.3..4.....81.34.8...2......6.4.5..94.2..6,780
.8.2...7.......3.9..379..25.3..5...289..2..342...1..9.34..792..6.8.......5...3.4.,1078
......1.2..14..83.82..3..7...38...5..18.5.36..5...92...6..9..84.39..46..1.4......,1039
.1.65.9...8...7.25..9..26...48......19.....36......85...54..3..43.2...9...2.95.1.,1134
...5768.....3.9.2.54.8..3....7.6...8..47.29..6...1.4....2..8.39.6.2.7.....3694...,593
.3.4...5...891..34......7.6.9..2...834..8..978...5..4.9.4......58..914...1...8.7.,795
...7.....3..4..687.76....4..94.81.5..8.9.7.1..1.36.79..3....92.921..3..4.....2...,727
....41......2.3.1.......564..93..27.2..4.5..9.37..96..341.......9.7.4......81....,1323
..71......2.58....9..7..3....84...161..6.8..347...52....2..6..5....41.6......78..,852
...62....245........68.3....31..8.9.9..4.2..3.5.9..81....2.19........268....67...,1081
57.........69.2.5.....13..82..3....9..16.78..8....4..66..28.....9.7.51.........85,1271
.9..8.....3...5.965....7...8...7...3.79.6.14.2...1...9...1....564.7...2.....9..8.,1675
..1.5.374...8..2.6....4......32...19....6....21...96......7....3.8..6...654.2.7..,1523
3....1.......9...3..2..657....6....82.84.36.14....2....832..7..9...5.......1....4,1341
47.9....1..5.8.......3..5....6..9...9.35.21.6...1..2....2..3.......4.8..7....1.65,1211
.2..7.136...1..95.....2.....1.4..7.8....1....8.4..7.9.....3.....71..5...293.6..8.,1260
3..9...81.....74.3.....5.......8..1..356.489..2..7.......2.....9.67.....58...3..7,873
...9......15..8.6.76.4.......1.5....5.87.26.9....4.3.......4.82.4.6..59......3...,922
6.83..2.....1....7....5.9..2...1...5.53.6.81.9...3...4..5.9....7....3.....4..75.6,1440
...8....472.3...5.....6..1.5...8...6.36.7.82.1...3...9.6..1.....9...4.674....3...,1326
624.8...197...5.......2.....31..9..6....7....7..3..19.....4.......7...654...9.872,1118
......6....6.1.3...9..45..2...82.14.3.......7.48.91...7..98..2...2.5.8....5......,1087
.....6..4.....9.286..2...15.1.9.....4.5.8.7.9.....3.8.29...8..758.3.....7..6.....,1347
4.8.......6...3..5...67..4......4..91.3.5.7.82..3......5..26...7..9...1.......5.3,1003
8....36.....41...7.72...........21...65.7.82...39...........95.9...64.....72....4,1253
5.1..83..6...........147.5.413....6.....2.....2....417.4.763...........4..62..8.3,1336
...3..9.1......2....4.7...8.6..147.5...8.7...7.365..2.6...4.5....1......2.8..5...,1078
5...3.4....6......8.9..4...2.754..8....9.2....5..632.4...7..1.6......8....3.2...9,1145
..1.....3.762...8...9.8.....4..57...8..1.9..7...63..2.....7.8...3...297.6.....2..,1660
..6143...42..5..6....6....576.........9.7.8.........919....4....1..3..48...8953..,1292
6...1....4.13..7..3......5...3.75....1.4.2.6....19.8...7......2..6..31.5....6...4,1367
.4.6...91..7241...........7..6...572....6....715...4..4...........5723..35...9.1.,1379
.75.4....1..2.......9..1..863.8..27...........18..2.348..3..4.......7..9....1.82.,1391
7..9..2.......5..1....6.73..67..3.92.........49.7..35..58.2....6..3.......1..6..7,2090
.......8...8193...9..2...35..2...718....2....387...9..76...5..3...7816...9.......,1358
...12...6.6.....394...681..75..........2.4..........65..189...283.....5.6...35...,966
7...38214....6.8...1..........7.1..8..6.9.7..3..6.5..........6...2.5....68591...3,1126
....745...5.8.16.4..3..5....3......9.6..3..1.7......8....7..1..3.61.8.2...826....,1280
...9...64.2..7...1.......5...8.42.73...1.7...79.83.5...4.......8...2..3.51...3...,1605
42....9....64...52..5..3.......9..8.13..5..97.8..2.......9..5..85...17....3....26,1002
3.5....2..7.4..6.1.1...9.......3...69.7.1.4.26...9.......2...1.1.3..8.5..9....8.3,1188
...8.75.63......9..749......1...5..7..6...2..5..1...4......618..6......98.23.1...,843
3.....4....5.97.8..8.3.......981....67..3..42....248.......3.9..1.67.2....7.....5,1075
3..6..85.5....4....86.....1....1..9..47.5.21..9..8....4.....38....1....5.59..7..2,1155
2.5....4.67.3..1......51.......8.5..45..9..71..9.2.......46......4..8.17.3....4.8,1128
6.....54..57..4..8...3....7..2.6.....96.7.31.....5.2..7....6...9..1..72..85.....3,1254
..84.....714..2.....6.1....1..3....76...5...35....8..6....4.2.....9..751.....79..,1803
..35...6..912..75.....4...........8.7..895..4.3...........2.....69..752..7...91..,1935
3.2.....8.....8..1..8.245...3..1.6.....8.9.....1.3..5...746.9..2..9.....1.....8.7,1178
....3.....29..137...1..2.8...5......1..427..6......4...5.7..9...823..71.....6....,2111
.9........2..63..1...9..4.25.1..2.7.....3.....4.7..5.93.2..6...8..37..6........8.,1849
2..8..6......1....5.73..8.9......4...9.478.1...2......7.6..93.8....3......9..7..5,1935
.....2.8.816.7...4...3..7...946.....5.......3.....745...5..6...7...8.692.2.1.....,1154
3...........3..97.7...61.5..45..7..2....1....9..2..43..8.12...6.17..6...........8,1731
52...64....8......3..29...5..9..7....45...78....9..1..8...35..7......2....41...56,1217
..3.879...9....5.2...2.......81...977.......694...53.......1...5.2....6...485.7..,1726
6194........62..4.7..1.....3....2.5...5...8...8.5....6.....4..1.3..98........6738,1278
.8...6..4.5..2.....194.....138..2...7.......5...7..316.....186.....6..9.3..2...4.,1142
.....9621..6.31........7..8..15....9.5.....1.6....45..2..8........94.7..9387.....,1463
..3.68..7....3.9...7....62...48...9..2.....8..6...15...15....6...6.7....9..41.3..,1355
.....9651.....74...5..86....6.3..9..3.......6..5..2.3....92..7...14.....8497.....,1221
..64.....8512........19..5...2..3.1.1.......3.3.7..5...4..72........4269.....68..,1338
......8.2.6.9.7..5..7..2.3..143......3.....9......168..4.1..2..2..5.3.4.1.5......,975
.3.......6..71...45.7..9.8..9...2....64...87....6...2..8.5..3.77...23..1.......4.,1290
.57.8...4...5.2........925....1..8.31.......93.8..7....169........6.5...4...3.71.,1307
..2....15...78....8..3...6...3..9.86.8.....5.49.8..3...4...3..7....14...35....2..,1861
...2....8.9.5..6..2.6...34...8.46...1.......3...79.4...17...5.2..5..3.6.3....5...,1606
.9.2..8.7...8.7.91...4........52...3.8.....5.6...14........2...27.1.3...4.3..5.6.,1704
76........8..45.....51.7.9.67..819......5......193..84.4.5.86.....27..1........27,959
...8...7......45...8...61.935.9...6.4..632..5.9...8.316.75...4...57......3...9...,1091
......6.5.3.9..1...79.658..9.5476......2.3......5194.8..865.31...1..4.6.6.4......,644
.....84...6...27.1...6...5.94.1...2.8..293..4.1...6.97.9...1...2.54...8...45.....,749
2.6.........7...9.3..5..267..5436..99..2.8..66..9154..752..9..4.6...4.........3.8,686
.45.1.98...9..2...72..9.1........29..3.9.8.7..72........7.3..21...4..6...14.5.83.,1017
.6.5.....7...8...5..4.91.784...3....6.72458.3....6...482.45.7..9...2...6.....9.5.,2911
9....138....2....6.....8.1.6.74....2..15639..3....26.1.1.9.....8....4....723....4,1041
..9.6..4328...95.7.3...79..92.........3...8.........76..27...8.1.63...5975..9.4..,1079
8.......6....58.71.1.6..85..7.5.1.48.3.....2.42.9.7.6..46..2.9.28.74....1.......4,1022
9..68.3.186.......2....17.....835.16...7.4...59.126.....85....2.......857.2.68..9,655
21..94.5.....2...88.....1..3...1.7..72.945.61..1.6...4..5.....64...8.....8.45..72,780
..9.6..4328...95.7.3...79..92.........3...8.........76..27...8.1.63...5975..9.4..,1079
...8...7......45...8...61.935.9...6.4..632..5.9...8.316.75...4...57......3...9...,920
.......53..2..9...593..1.4..2.348..1.3.7.5.2.8..162.3..8.2..195...8..3..47.......,1113
68..51.32......1.9....9.....23.8...456..3..989...2.35.....7....4.5......89.54..16,566
46...9.8..5.73......74...2..7.8.13.2....4....8.35.7.6..3...46......65.3..4.3...19,632
61...9..4..84....99..58....8..3.597.....4.....296.7..3....93..52....43..7..1...48,1212
.6.3..7....964....3.5..18....68.2.47....3....84.9.65....34..2.1....594....4..3.5.,791
...6.....3...9.78..5.12.6..29....4.7..42579..6.7....28..6.15.9..81.3...5.....2...,839
.....317...7.9..26...4..5..7.1..4..8.5.9.2.4.9..7..3.2..8..6...16..8.2...742.....,871
..3..2..7.9.7.54....18.3..9....9.2.5.7..2..3.5.6.8....8..2.15....54.9.1.9..6..3..,833
6.9.7....25.4.......1..6...32.85...7..7.2.8..8...61.43...2..9.......5.76....9.1.8,913
621..........57.6..8.4.6.9.4...7.5....9.8.7....2.4...9.6.3.1.8..3.52..........153,901
82....9......4....1..6.5.8.3....4.129..123..671.5....3.5.8.2..7....5......1....38,1002
...4.2.1...46.72..8.6....49....4..38...815...48..2....74....9.1..83.95...6.1.4...,1092
....4.3.13..2..56....3.8..2.5..839..8.......6..759..1.1..6.9....42..7..99.3.5....,1190
..1...2632........8.572..1..2..3...57..541..24...8..9..8..195.6........8612...4..,954
3.2.....8.9..2863.4783..........7...61..4..82...6..........2463.2456..7.9.....1.5,951
.5.6......1...23.9.2..4..6...826.9....25798....7.816...7..2..9.6.49...2......7.3.,1055
6...4..92..7....81..9.6.57...65...4...4.8.7...9...72...53.1.4..46....8..98..7...3,870
..8.7..4.4....59.3..36..71.6...3...5...852...7...6...9.96..73..5.13....7.7..2.8..,792
.....86146.....2.8.8362..9....1.....26..4..73.....3....1..3542.5.7.....98342.....,811
.1.9.73.6.7......13.9.1.....9..5.46...31.48...82.6..5.....4.7.52......3.9.53.8.1.,1005
5.4..87...36...2.57......1....9.7....6.....5....5.1....9......32.5...94...32..8.7,1391
42.5.96......1.7..8....4....63.....7.4.....2.5.....16....8....9..4.7......91.5.83,815
..6..4.......1...7.348.5..292....7...4.....3...8....215..1.896.4...7.......6..5..,1139
.4.3..1.5..3..1......69.4..3......2..97.5.83..8......6..9.38......2..6..5.1..7.9.,841
.9.6..8...7.....4.32...4..6....173.9....4....9.583....2..1...95.4.....3...8..3.6.,973
..4.61..8..........3...4197.1....3.9...7.5...2.7....6.3562...8..........7..85.4..,1401
....5.1....7..95.8..1..8..397..1.......5.4.......6..416..7..3..2.83..6....5.2....,1478
..6.9........4..2.398..2..4.41.....5...178...2.....86.9..5..287.7..8........2.9..,1086
....91..6.7.....2.6..4....38......6.4.62538.1.5......49....4..5.2.....9.3..56....,1061
..283.....6.....5...5..18...8....1..3.16824.9..9....3...31..2...7.....6.....543..,1148
....75..41.....78...6....25..26..1...38.5.29...1..48..68....4...17.....25..16....,792
.12..48..97.6.31.44...1.7......6.3.2.........5.3.4......4.9...77.64.2.51..91..43.,11199
..1..9.3...9.....1.25.1.....8..97..23..2.5..81..34..5.....5.41.6.....9...5.7..2..,864
...1354..9...6....2.57...1..51....6.62..5..37.7....25..4...76.3....8...2..3924...,987
.7193....8..7.....36...2.8...7.2..9.5.8...1.4.3..1.8...8.2...63.....7..1....5627.,926
.4..37..........5...6.59..785...49.36...1...43.48...164..36.7...7..........74..9.,959
....9.3.4....47.8...43..67...1....27.9.8.1.3.76....1...76..24...1.48....8.3.5....,773
..8....2.3.7.1......6..5..11...79.3..4.1.6.9..6.58...49..8..3......3.1.6.3....8..,845
.8.4....2.5..1.6.3..2...74.....6..3.2..941..6.7..8.....18...5..4.7.5..2.5....3.8.,863
6.4.7..3..78..6..251.........64.2..3.23...65.1..9.32.........272..7..54..4..2.3.8,817
.....597.4.3.9..65......3.....2.9.1.9..573..4.2.1.8.....7......53..1.4.2.918.....,792
.6.3.....3.812....19...8..5..5.6...9.46...52.7...8.3..5..8...91....976.3.....3.5.,2259
..4....38.....149...7.9.5.....153.2...9.8.3...5.942.....5.7.1...863.....49....7..,1132
...1354..9...6....2.57...1..51....6.62..5..37.7....25..4...76.3....8...2..3924...,1017
2....6.....63..97.4...1.6.3..7.6...1.9..4..2.6...8.7..7.4.2...8.82..13.....8....7,959
2....6.....63..97.4...1.6.3..7.6...1.9..4..2.6...8.7..7.4.2...8.82..13.....8....7,1136
..7.5...9......37...274...8.41.....5..51647..9.....84.4...871...53......1...9.5..,911
345....81.8.3.1......4....9.2.7.4..68.4...2.36..5.8.9.5....9......1.5.6.46....925,789
2..78.3..7...6.1.........7498....6..6..958..7..1....8346.........9.1...6..8.37..9,1190
723....15...2....4.1.7.5....8.9.2..61.2...8.76..3.1.4....5.3.6.3....4...26....483,1059
.8..947.2..91.......72.65..972......8.1...9.5......278..87.96.......81..2.641..8.,1023
..7.3...4......27...456...1.16.....3..51947..7.....41.6...158...52......3...7.5..,740
..38.9...827...3.9...7....4..56.7..137.....581..2.34..2....4...7.1...542...9.21..,1029
37..5....2.9.....65..1.6......5..89.4..2.7..5.25..1......7.9..31.....9.8....2..57,884
....89..1..83....295...2..8...82..4.5.4.9.2.7.9..57...6..2...853....87..8..71....,832
...7.8..334....986.8...9....3.8.5..9.54...62.6..1.4.3....4...9.428....755..2.7...,875
.......7..5.2....12.45...3.9..6.4...32.8.9.47...1.7..9.8...53.44....1.8..9.......,1540
..6.5..3...74...8.3....176......5...2.56.43.7...1......793....6.3...74...8..1.5..,1481
...1..48.5.......2.4..7..61.....56.7.1..4..2.2.36.....62..9..4.8.......3.37..4...,1052
..8..21.7..2..7.6....9..35.45...8.......2.......1...93.47..9....1.2..7..8.93..4..,995
..6...1..49...7....57.3..4.5.31......6..4..7......56.8.4..2.56....4...83..8...9..,774
9....4.3.......95....9.5..2..7..62..5.3...8.7..63..4..3..4.2....19.......2.8....6,1387
3..8..5.........7.1.42.3...6.2....9...7.1.3...5....7.4...3.56.8.4.........5..8..7,997
.8..42........52.4..769......3.....2..95.37..6.....8......879..9.82........41..5.,1278
.4..8...9..15....3...19...815........39...21........654...79...7....84..8...6..3.,1013
7..5....3.35..1..4....73.1.....6.39.8.......6.96.8.....5.93....2..1..96.9....2..5,814
8..7.53.....9.8..7..4.2.5.....2..7.6.1..8..5.9.6..1.....7.9.2..6..8.2.....35.6..9,663
.1.7.4..93...6...4...5.1.7....6...87..2.1.4..85...2....8.1.6...7...5...69..4.8.5.,949
..5..6..96...3.2549...2...8..3....6..8..5..9..9....4..5...1...3369.8...71..3..9..,912
7...6...9.2...7..61...3.427.5....2....2.9.3....4....7.589.7...42..4...9.3...8...2,699
95...2.86..46...51...95.3..6.2..4....4.....9....1..4.5..1.96...76...51..42.7...69,690
751..4...2..1...8...42.3.....8.31...59.....18...94.7.....3.51...8...7..9...4..853,904
..56....1....53..479....526......3..28..4..19..9......948....533..52....5....94..,948
54.1......23.8.....8..6.1..3.4..6.57...7.5...75.4..2.8..1.4..8.....1.67......2.14,1221
....4..91.....57.3.5..8...47.68..93....7.6....14..36.74...3..5.5.31.....68..5....,1052
743......6..4..8.2...9..7..374.92.....6.4.9.....76.438..2..1...8.7..4..6......374,612
....6.38......52.1.5..9.6..7.19...28...1.7...63...21.7..6.2..5.2.53......97.5....,744
9...4.126.1...9..77...2...3.4....9....3.1.7....7....6.1...8...48..4...7.479.3...5,734
147...5.66..59....5....1.7..1.......9.4.7.2.1.......6..5.3....2....56..78.1...953,705
.52..6.3.......786..8..1......51.678..1.6.3..726.38......4..5..867.......3.6..82.,645
.5..3...716..9....3....2.9..7....9....34216....8....4..8.3....9....8..549...5..8.,1036
....3..8...2.7...1.7...94....3..1..8..75829..8..6..7....51...6.9...6.1...4..5....,970
.6..8...3.7.45...65.....78...1....2....576....9....5...37.....16...14.7.9...2..4.,3117
..7.4..3..3...97...84.7......8.....71..628..93.....5......3.16...32...9..5..9.4..,733
2...175..8...4.7...53.....1..8....9....952....1....4..9.....65...2.6...3..579...2,1301
..9.8...3.....4..617.2....47....8..5.3..4..8.8..1....23....6.195..4.....4...7.3..,896
3.6...7...1.6..38......7...25..8.....4.7.6.3.....2..58...9......28..4.9...1...8.6,1586
....8.9..6....54..31..9....2..1....3..1.5.6..9....7..8....4..17..68....2..2.1....,1138
2......97....8....18.9....2....6..45..5.2.3..82..4....5....6.14....3....47......8,2282
.........26.3....9.3..98.6..7.8....16..9.5..74....7.2..4.25..7.1....6.83.........,2064
...6......2..8.3....32.9..568...1.3.7.9.2.8.6.1.8...595..7.34....4.5..7......2...,699
..7.19....8973..2.3..........65...7.43.....51.1...26..........4.4..9718....85.7..,1149
...15.3..4...7.59.6..8....7....6.42....4.8....94.1....3....4..5.42.8...3..9.36...,884
71.3......48...6...62..9..1....93..4...1.5...2..68....6..9..57...5...89......8.13,1120
..29....4.8..4..7....86.1.3..8..2...56.....17...7..3..8.6.39....9..8..3.1....65..,889
.7..25.1..654.....8...6.....5.1..3...32...69...7..2.5.....8...9.....453..8.69..7.,1134
..93....4.1....35.......978..698...2...5.6...5...126..864.......51....9.2....78..,1122
..6.3....91.5......2..68.3..9.4....286.....141....7.9..7.94..2......5.89....8.3..,1364
6...291..42...3...3..8...29168....7...........7....56385...4..2...2...48..168...5,3169
...69..2..891...........793...21..7.37.....14.6..73...754...........958..2..61...,709
.1.....2.9..1.4..8..3..9.7.58.9..7..64.....83..1..5.42.9.4..2..1..6.2..5.5.....1.,939
..8...2.73....45...4.172.......4.6....25.89....4.1.......759.3...16....57.5...8..,23743
.8...53.6.4..2..1.1......7.6..5...91..1.6.7..52...1..4.7......2.6..9..3.2.46...8.,838
15..3..747...9..5.64.......52...1....7.4.2.6....7...82.......28.3..4...781..7..93,983
.7.....9....3...4882.7..63..93..6..57..5.3..92..1..36..82..4.7361...7....3.....8.,1049
.....6.91942......7...93...4...67...6.8...2.4...24...3...63...7......48515.9.....,808
84..1..263.6.7...92........9..3..8...8..6..5...4..7..2........46...8.2.741..2..65,775
..89....14..5....6.56.7..8.5....9...83.2.7.65...3....7.4..1.92.2....4..89....36..,729
59.....6.8.6..9....3...682.2..7.....78..4..56.....1..8.785...1....3..5.4.1.....93,827
61..........54..12....9178..2..5.4..1...3...5..3.1..6..7932....28..64..........24,906
9.......3..5..1..2.1.9.6.8.84.1..2..67.....58..9..4.36.9.7.3.4.1..6..3..4.......9,1099
...7..96...3...5...623..7.17.5..1.4..3.4.7.5..2.8..1.72.6..937...7...6...18..3...,902
.573.8....967423..............5..8.1..4.9.6..7.8..6..............312548....9.725.,1157
..276....84...9........2.63..13...94.........62...47..95.2........5...82....461..,844
......1..7.53..6...3..4.8.9..3.9..5....137....9..2.3..4.2.8..6...7..12.3..9......,2027
.74.9....9......56.6.2..9....87....4.........1....48....5..3.7.72......9....1.36.,1337
9....4.8.....9..71.58...9....1..7..6.........6..1..2....9...74.38..2.....7.3....5,1478
.4...8..2.813.........69..54.5..6.....2...7.....9..5.19..64.........783.3..8...5.,1129
....2.9...5.9..4...2.1...5..9....8.7..32.65..6.1....3..1...9.4...4..7.8...8.3....,2735
.67..5.......7.53....3.8..47..5...6..3.....2..8...3..51..9.4....49.2.......1..48.,1273
.8....19....6..........4.53..178....9..2.5..1....312..53.1..........6....47....8.,1810
..9.75...8.6...7...1...6.8....4.1.6...3...4...2.5.7....3.6...4...2...5.9...35.2..,1275
2......47..9.7.2...1..8...6..1..6...3..1.4..5...8..9..4...1..2...5.6.4..86......3,1074
..5.9..8.92..4........62.7.3....5....68...24....4....7.7.13........8..94.1..5.7..,2409
.......8..6.3.2...3.21..9..5..9...4..97...61..3...1..9..6..85.7...7.3.6..4.......,1902
68......2..7..68..1...29......5.76..4.......5..39.2......49...3..46..5..3......19,1172
..1.7..9.....5.3.2..918.......2....9.54...26.8....7.......469..3.6.2.....7..3.5..,2350
19...8...87...6..224..97.6....8.....6.2...7.5.....3....6.32..413..6...59...4...76,927
.64..9....52..41...93.71.4....1.....6.5...4.7.....8....4.62.79...74..86....8..32.,1111
43.....2697....51...18...3.6...41.....7...3.....95...1.1...27...89....6474.....53,1162
4.682...........3.75.1.3..2..3..2.6.58.....29.2.3..8..2..9.8.41.6...........742.3,901
..47..8....5.8.13.3..9.5..4.....6.41.........18.2.....5..6.9..8.96.7.2....7..43..,792
3.6..........3.7.4.5...298...3..82.6.19...85.6.85..3...974...1.1.4.6..........4.9,810
..1..72..8.64..9..3.4.....8..73...2....9.1....3...65..7.....6.3..5..98.1..37..4..,861
....5..26..7..94.385.......5....4.893.1...7.448.7....5.......326.32..1..21..8....,991
..24.3.5....9.26.1.5.1.8..3......2...49.1.37...8......6..8.5.4.2.17.9....8.6.19..,893
6..........8.6..139.4.2....3.6..2....8591432....8..7.1....4.8.784..5.9..........5,1108
...5..4...6.2....8...38..19..1....4373.....5149....2..27..56...8....3.2...5..7...,1059
493.1...7.1....4.57.6...18....1...3.3..2.7..6.7...6....35...2.41.7....6.9...7.851,1156
....1.43.5.23..9....8....57....53.....91485.....76....92....8....3..61.5.64.3....,847
.7.4.821.....76.35..4........57....4.97...62.6....47........5..74.31.....836.9.7.,1199
.....84.5165.9..8.....6..9.4..6..1...16.7.94...2..1..6.3..4.....5..8.2346.47.....,974
9....26...4.....72..68...1.6583..1......8......3..5498.9...78..56.....3...42....5,837
.6..2.5485.31......4..5....8....73..37..1..59..53....7....3..9......26.5637.9..2.,750
2.4..51....7..9.8..6.2.3..9.7...8..4....9....9..1...7.6..9.1.3..5.6..8....38..6.5,1202
.7..........78.14.....6.273.6...74...1.9.8.6...92...8.483.2.....56.94..........5.,1117
69..41...531.8...........9.4..8...3..7.4.3.6..6...2..1.2...........6.528...23..17,1087
......6...7.95.1.8.....23.97...24...1.9...4.2...71...65.46.....6.7.91.8...3......,1163
.....2..6.1....82..5..4...7.3..57...8..1.3..4...49..5.5...6..8..76....1.2..9.....,1337
......1..7.35..6......2..97....38.4.8..7.4..1.9.65....61..8......9..73.2..2......,1278
....7..86.154..2........1......98..2.6.3.4.7.3..75......6........8..954.24..1....,1847
..1.5...4..27.....78......6...14...3..53.68..4...95...6......21.....97..8...2.4..,1952
.742...6.....1.4.8.......5.....79..3..94.35..8..62.....1.......5.6.9.....8...417.,1432
....4...96....12...45...7.3...4278...5..1..7...7653...7.1...43...47....82...6....,1132
79....26.....7.5....3..4.8....786.1.9...4...6.6.392....7.6..1....8.3.....46....72,1084
.69..182.248.9......1.....9.2.3.4...9...2...6...9.6.3.8.....2......7.368.934..15.,848
4819........38.........7.68..2.5.9..85.....46..4.7.3..32.7.........64........3697,1058
2.87..9..149...6..7...9..1....6.92..9...7...3..42.8....9..8...1..1...476..7..65.8,930
..1.4.3.8.4.5..71....6..........48.741.....632.83..........5....82..6.3.9.3.8.5..,921
3...6......7....246....43.5...3.74...3.256.7...54.8...4.21....389....1......4...8,1112
1.53......3.6....8..918...2..7....2..2.9.3.5..4....7..3...492..8....1.3......81.7,1040
13...8.6.6.7.3...9.....9...3.16......42...68......25.3...8.....4...2.3.6.2.9...45,639
1...29....5....1.4.687.....315.8......4...9......1.845.....725.4.2....7....26...1,670
5.36..7..6...7...1..451.......3...28..6...1..28...1.......396..3...2...7..8..63.9,1208
.4...628..9..8......6....95...9.83..7..132..4..87.4...28....7......1..4..348...1.,681
.4..9.8....1473...69..2....9..1......87...43......5..1....5..18...9146....9.8..4.,796
.1.7....3.2...85..4.72.....24......6.61...45.5......38.....53.7..53...4.1....7.2.,958
.1..8.6...5.63.........43.5.453....29.......48....753.5.48.........91.8...3.2..5.,1349
35.6........3..61.....793..8..1..9..19.....47..6..2..5..346.....81..3........1.39,1477
..9....148.6...5..41........9.52....2.3.6.8.1....38.6........83..5...2.676....4..,1019
9.....1.3.24.....5......42.....89.5.1.2.3.8.6.3.16.....16......4.....73.8.3.....9,1294
8.......7.94..1.......5.69..8.7...4...14839...3...9.6..79.3.......2..15.6.......8,1260
7.....6.8......23..32.....1....47.1.6.3.8.4.5.8.65....2.....98..65......4.8.....7,1134
8.......7.94..1.......5.69..8.7...4...14839...3...9.6..79.3.......2..15.6.......8,1260
....5..8....7.64..51.....3...5.6...3..98.25..6...4.1...4.....27..34.8....6..7....,1533
....8.6..8.2...5.....9.1.3..8..1...5.4.6.7.8.1...3..2..5.3.6.....3...7.9..1.9....,194012
9..5.4....5....67..8..6......8.5...32..4.7..11...8.9......1..4..31....9....6.8..5,3000
6...3..7.....54.1.5.....29....49.....1.5.3.2.....78....64.....1.7.64.....5..2...3,1194
56..9.......28.7...3..7...4.....92..7.1...4.3..47.....2...3..7...3.57.......2..56,1283
